Feature,Importance
market,0.41036365879556963
commodity_name,0.2971684282200917
state,0.15540474146320873
district,0.06387645619655809
month,0.025027110004741098
day,0.0222225067566862
year,0.019553465053621866
day_of_week,0.006383633509522657
