commodity_name,modal_price
Cardamoms,1954.598076923077
Mace,1241.2857142857142
Jasmine,719.0909090909091
Cloves,649.75
She+Buffalo,432.2077922077922
Ghee,384.2398048780488
Pepper+ungarbled,373.7861111111111
Pepper+garbled,337.1363636363636
Ox,322.42537313432837
Black+pepper,313.3496681749623
Cow,286.7042682926829
Bull,267.4117647058824
Walnut,245.0
Khoya,235.63888888888889
Nutmeg,222.34
Betal+Leaves,201.1340782122905
Coconut+Oil,182.050796812749
Dry+Grapes,176.86666666666667
Rubber,141.40184331797235
Fish,140.05568400770713
Cummin+Seed(Jeera),135.60804398447607
Mashrooms,126.00489795918367
Chili+Red,120.10356713426854
Dalda,119.5
Cherry,119.40517241379311
Coconut,113.1891878669276
Mustard+Oil,112.51745388857198
He+Buffalo,110.5
Calf,109.375
Cashewnuts,109.04451063829787
Coffee,106.54316666666666
Copra,105.78764759309718
Ajwan,105.44810397553516
Dry+Chillies,102.75221246707639
Gingelly+Oil,102.02947204968943
Lint,98.4857894736842
Isabgul+(Psyllium),87.72968069666183
Arhar+Dal(Tur+Dal),83.30848484848485
She+Goat,81.25
Ginger(Dry),74.37566402207658
Mahedi,73.18029411764707
Ram,73.125
Soanf,71.4558993902439
Sheep,71.32947368421053
Lotus+Sticks,70.43958333333333
Apple,69.81147781165312
Gramflour,68.06470588235294
Tender+Coconut,67.13455696202531
Masur+Dal,66.23138075313807
Ground+Nut+Seed,65.86506960556845
Almond(Badam),65.0
Chennangi+Dal,63.97033333333333
Turmeric,63.89698543381887
Drumstick,63.290292494481236
Kartali+(Kantola),62.4474
Garlic,61.346129597197894
Sabu+Dan,61.0
Ginger(Green),60.79841423185674
Cocoa,60.58
Corriander+seed,60.26831084879145
Groundnut+(Split),59.832941176470584
Mataki,59.07094339622642
Pomegranate,56.883809523809525
Grapes,56.38227356746766
Jamun(Narale+Hannu),55.590545454545456
Moath+Dal,54.56223642172524
Chrysanthemum(Loose),53.77055555555555
Groundnut,52.72223487343558
Linseed,52.497237394957985
Suva+(Dill+Seed),52.14595918367347
Cotton,52.07514214520331
Duster+Beans,51.56310679611651
Litchi,51.55297762478485
White+Peas,51.19341216216216
Surat+Beans+(Papadi),51.18809392265194
Niger+Seed+(Ramtil),49.97534246575342
Goat,49.587938931297714
Alasande+Gram,49.38213836477987
Tobacco,48.81072727272728
Jute,48.72362853628536
Gurellu,48.24742857142857
Castor+Seed,48.15526662277815
Peas(Dry),46.85369660885322
Tamarind+Fruit,46.28197647058823
Avare+Dal,46.16807692307692
Cotton+Seed,45.473333333333336
Mustard,45.28690632318501
Methi+Seeds,44.64580715532286
Sunflower,44.63214285714286
Siddota,44.5
Coca,44.333333333333336
Lemon,43.95659621802002
Safflower,43.91077519379845
Rajgir,43.60921052631579
Orange,43.38158438576349
Seetapal,43.368353658536584
Yam+(Ratalu),43.07692307692308
Plum,42.93816470588236
Green+Peas,42.90836347197107
Sabu+Dana,42.625
Soyabean,42.48362693974995
Yam,42.1375
Green+Avare+(W),40.932065217391305
Peas+Wet,40.850684782608695
Taramira,40.827698744769876
Amla(Nelli+Kai),40.54897286821706
Cowpea(Veg),40.11974185221039
Sunhemp,40.0
Lime,39.88808024691358
Other+Pulses,38.852222222222224
Indian+Beans+(Seam),38.683942307692305
Groundnut+pods+(raw),38.634590163934426
Antawala,38.600833333333334
Soji,38.134375
Kulthi(Horse+Gram),38.10074370709383
Rose(Loose),37.91304347826087
Beans,37.74357532751092
Mango+(Raw-Ripe),37.3253488372093
Peas+cod,37.180130311614725
Mousambi(Sweet+Lime),37.0214933393037
Guar,36.81077453580902
Marigold(loose),36.22222222222222
Mango,35.282373150105705
Cluster+beans,35.214043296089386
Pigs,35.16246575342466
Sugar,34.588627737226275
Lak(Teora),33.569144736842105
Butter,33.54333333333333
Mahua,33.11951310861423
Coconut+Seed,33.09180555555555
