market,modal_price
Bachaibari,53.19132867132867
Savarkundla,53.166355382619976
Limdi,53.05866666666667
Dhandhuka,52.96402439024391
Enkoor,52.875
Nasvadi,52.7
Jaleswar,52.558952702702705
Machalpur,52.5
Bikaner (Grain),52.497058823529414
Unava,52.40792682926829
Ralegaon,52.3
Siwani,52.28333333333333
Dindigul,52.25388888888889
Nasvadi(Thalkala),52.25
Bhattu Kalan,52.205000000000005
Kanjirappally,52.11940298507463
Giridih,52.047391304347826
Khammam,52.044832713754644
Warangal,52.04416829745597
Attur,52.03658536585366
Bodeli(Modasar),52.02277777777778
Avalurpet,51.97092814371258
Mandhal,51.94464285714286
Balugaon,51.907736389684814
Parali Vaijyanath,51.877613636363634
Boath,51.86857142857143
Manjeswaram,51.79553571428571
Khambha,51.72919191919191
Bodeli,51.717543859649126
Lohardaga,51.71666666666667
Sengoan,51.68674698795181
Chathanoor,51.67052023121387
Palakkad,51.61731391585761
Omalloor,51.61666666666667
Sonamura,51.44811529933481
Jind,51.25
Angamaly,51.18619934282585
Kuber,51.166666666666664
Bodeli(Kalediya),51.093589743589746
Dasda,51.02946428571428
Thrissur,51.019781718963166
Hingoli,50.96927536231884
Boha,50.925200000000004
Athirampuzha,50.85
Parkal,50.766666666666666
Bhadrawati,50.72666666666667
Peddapalli,50.672000000000004
Surajgarh,50.6210101010101
Thrippunithura,50.578133943903836
Malegaon(Vashim),50.56612903225806
Vellore,50.5614858096828
Bodeli(Hadod),50.40974025974026
Adilabad,50.31613636363636
Adoni,50.092330097087384
Halahali,50.02307692307692
Karanjia,49.96153846153846
Tosham,49.935483870967744
Kondotty,49.91943127962085
Thalavadi,49.90066666666667
Champaknagar,49.897440273037546
Baramati,49.75169014084507
Panthawada,49.71486486486487
Thalayolaparambu,49.56748071979435
Jasdan,49.40076923076923
Kangra,49.372410546139356
Dhing,49.36676300578034
Thiruppananthal,49.35703703703704
Kuruppanthura,49.352159468438536
Karjan,49.322758620689655
Palus,49.20176767676768
Korpana,49.166666666666664
Kothamangalam,49.04931714719272
Pakala,49.0
Bhind,48.90820512820513
Mahagaon,48.8
Gooti,48.785714285714285
Rajasingamangalam,48.75
Malout (Kilianwali),48.68714285714286
Palampur,48.59635346756152
Chavakkad,48.55779427359491
Thara(Shihori),48.49741052631579
Aluva,48.09893455098935
Anyara(EEC),48.056
Bhadravathi,48.04564748201439
Manjeri,47.96520681265207
Mehgaon,47.885238095238094
Yadgir,47.86105263157895
Barmer,47.858695652173914
Deesa(Bhildi),47.76404293381037
Garjee,47.70103626943005
Anchal,47.63867231638418
Lakhani,47.63308123249299
Udgir,47.605
Alappuzha,47.59341252699784
Hosadurga,47.5
Jamkandorna,47.5
Savanur,47.409303797468354
Mandya,47.31628472222222
Daryapur,47.27131147540984
Thirthahalli,47.25
Gangavalli,47.21
Alwar(FV),47.07692307692308
Mangrol,47.03465346534654
Elumathur,47.01432432432432
Bhor,47.0
Biokhora,46.97115879828326
Naigaon,46.93333333333334
Neemuch,46.920318930041155
Mottagaon,46.83870967741935
Chengannur,46.705962059620596
Saraskana,46.69047619047619
Silachhari,46.62368421052632
Ettumanoor,46.5970409051349
Purulia,46.552646755921735
Pattambi,46.547210300429185
Maranelloor,46.513513513513516
Niuland,46.45454545454545
Palanpur,46.302439024390246
Cheyyar,46.2522049689441
Nedumangadu,46.2484076433121
Visavadar,46.24590476190476
Umared,46.23444444444444
Valia,46.2
Tseminyu,46.125
Betnoti,46.12068965517241
Ding,46.08566176470588
Jamanian,46.01818181818182
Pala,45.9426523297491
Udupi,45.895
Sridungargarh,45.824999999999996
Sarangapur,45.76166666666666
Arvi,45.70961538461539
Sojat Road,45.68186046511628
Lakhandur,45.67928571428571
Anthiyur,45.627583333333334
Wadakkanchery,45.54798850574713
Ellanabad,45.49285714285715
Santir Bazar,45.472527472527474
Baripada,45.4040404040404
Chintamani,45.385751445086704
Boothapadi,45.385714285714286
Namakkal,45.38409090909091
Kurnool,45.339158536585366
Kasipur,45.22244094488189
Morbi,45.168196319018406
Dholpur,45.160000000000004
Perumbavoor,45.144883485309016
Kottakkal,45.14197329376855
Bonai,45.14074257425743
Bhikhi,45.13958333333333
Palam,45.115
Jalna(Badnapur),45.05083333333334
Sindhanur,45.01359307359307
Dharampuri,45.0
Jobat,45.0
ZariZamini,44.919999999999995
Talod(Harsol),44.915142857142854
Piravam,44.872548262548264
Shiggauv,44.75
Oddunchairum,44.70454545454545
Dholka,44.7
Banmorkalan,44.666666666666664
Kallakurichi,44.60331950207469
Amirgadh,44.527789473684216
Damoh,44.38661971830986
Avalpoonthurai,44.37766666666666
Siddhpur,44.37601374570447
Dharmabad,44.35
Jintur,44.33796296296296
Irinjalakkuda,44.32
Nalbari,44.29761904761905
Vijaypur,44.228571428571435
Sangat,44.19
Varanasi(Grain),44.12882865440465
Tindivanam,44.12622950819672
Madhugiri,44.09520408163265
Jaora,44.04126213592233
Bhavnagar,44.03292682926829
Guntakal,44.0
Papanasam,43.9
Hamirpur,43.897509254362774
Bhanvad,43.85466926070039
Jawala-Bajar,43.833333333333336
Gadwal,43.80804347826087
Doddaballa Pur,43.64625
Chitradurga,43.609702602230485
Kallachi,43.55769230769231
Akhadabalapur,43.4078947368421
Mannar,43.38903174603175
Rajura,43.324999999999996
Bijapur,43.31240274599543
Nutanbazar,43.21031746031746
Tharad(Rah),43.096923076923076
K.R. Pet,43.0125
Thirukovilur,43.01018442622951
Manasa,42.86722772277228
Chhabra,42.86717105263158
Thammampati,42.864285714285714
Tikabali,42.857142857142854
Kamakhyanagar,42.81180811808118
Quilandy,42.700764818355644
K.R.Nagar,42.69051282051282
Bathinda,42.57304625199362
Risod,42.524358974358975
Deedwana,42.5
Cuddalore,42.481385542168674
Purna,42.39928571428571
Armori(Desaiganj),42.39411764705883
Kangra(Jassour),42.39030883919063
Piplya,42.369032258064514
Karimganj,42.36538461538461
Gharsana,42.33
Challakere,42.31531531531532
Kaliaganj,42.28875
Huzzurabad,42.20722222222222
Malpura,42.140506329113926
Buldhana,42.107142857142854
Jagalur,42.08
Kinwat,42.00118644067797
Senjeri,41.9375
Pandhakawada,41.89718309859155
Pariyaram,41.833333333333336
Sainthia,41.78052536231884
Kudavasal,41.775294117647064
Jagdalpur,41.766
Kudchi,41.70209677419355
Pulgaon,41.65935897435897
Selu,41.61555555555556
Sadulpur,41.606
Harippad,41.596964586846546
Kantabaji,41.516129032258064
Barshi Takli,41.5
